tratamento;repeticao;type;size;time
1;1;sequencial;1000;0.00545001029968
1;2;sequencial;1000;0.0052170753479
1;3;sequencial;1000;0.00533008575439
1;4;sequencial;1000;0.00514316558838
1;5;sequencial;1000;0.00513100624084
1;6;sequencial;1000;0.00493717193604
1;7;sequencial;1000;0.00467109680176
1;8;sequencial;1000;0.00458884239197
1;9;sequencial;1000;0.00450611114502
1;10;sequencial;1000;0.00450801849365
1;11;sequencial;1000;0.00438690185547
1;12;sequencial;1000;0.00431799888611
1;13;sequencial;1000;0.00439500808716
1;14;sequencial;1000;0.00412893295288
1;15;sequencial;1000;0.00418496131897
1;16;sequencial;1000;0.00418400764465
1;17;sequencial;1000;0.00389194488525
1;18;sequencial;1000;0.00408101081848
1;19;sequencial;1000;0.00398182868958
1;20;sequencial;1000;0.0039279460907
3;1;sequencial;1000000;5.3066239357
3;2;sequencial;1000000;5.4042828083
3;3;sequencial;1000000;5.0850520134
3;4;sequencial;1000000;4.99956798553
3;5;sequencial;1000000;5.15986585617
3;6;sequencial;1000000;5.39007616043
3;7;sequencial;1000000;5.64707303047
3;8;sequencial;1000000;5.44751310349
3;9;sequencial;1000000;5.32498598099
3;10;sequencial;1000000;5.13787913322
3;11;sequencial;1000000;5.59139800072
3;12;sequencial;1000000;5.73768806458
3;13;sequencial;1000000;5.53359818459
3;14;sequencial;1000000;5.73338007927
3;15;sequencial;1000000;5.74269413948
3;16;sequencial;1000000;5.69588208199
3;17;sequencial;1000000;5.62135910988
3;18;sequencial;1000000;5.32012200356
3;19;sequencial;1000000;5.59320497513
3;20;sequencial;1000000;5.4354660511
2;1;sequencial;10000;0.0608048439026
2;2;sequencial;10000;0.0580220222473
2;3;sequencial;10000;0.0662779808044
2;4;sequencial;10000;0.0500309467316
2;5;sequencial;10000;0.0438470840454
2;6;sequencial;10000;0.0399398803711
2;7;sequencial;10000;0.0361769199371
2;8;sequencial;10000;0.0372941493988
2;9;sequencial;10000;0.0346891880035
2;10;sequencial;10000;0.0341629981995
2;11;sequencial;10000;0.0337841510773
2;12;sequencial;10000;0.0330228805542
2;13;sequencial;10000;0.0342121124268
2;14;sequencial;10000;0.034218788147
2;15;sequencial;10000;0.0343999862671
2;16;sequencial;10000;0.0338668823242
2;17;sequencial;10000;0.0344970226288
2;18;sequencial;10000;0.0340311527252
2;19;sequencial;10000;0.0350880622864
2;20;sequencial;10000;0.0349569320679
5;1;paralelo;10000;0.129386901855
5;2;paralelo;10000;0.0613830089569
5;3;paralelo;10000;0.0462579727173
5;4;paralelo;10000;0.0355019569397
5;5;paralelo;10000;0.0491161346436
5;6;paralelo;10000;0.0509340763092
5;7;paralelo;10000;0.0391149520874
5;8;paralelo;10000;0.0374879837036
5;9;paralelo;10000;0.0567557811737
5;10;paralelo;10000;0.0490660667419
5;11;paralelo;10000;0.0367600917816
5;12;paralelo;10000;0.0403950214386
5;13;paralelo;10000;0.123819112778
5;14;paralelo;10000;0.0498991012573
5;15;paralelo;10000;0.0479440689087
5;16;paralelo;10000;0.0343050956726
5;17;paralelo;10000;0.0380039215088
5;18;paralelo;10000;0.0384061336517
5;19;paralelo;10000;0.0384590625763
5;20;paralelo;10000;0.0549159049988
4;1;paralelo;1000;0.0131719112396
4;2;paralelo;1000;0.0131130218506
4;3;paralelo;1000;0.0143051147461
4;4;paralelo;1000;0.0115370750427
4;5;paralelo;1000;0.0113968849182
4;6;paralelo;1000;0.0124309062958
4;7;paralelo;1000;0.0149919986725
4;8;paralelo;1000;0.014298915863
4;9;paralelo;1000;0.0162460803986
4;10;paralelo;1000;0.0201799869537
4;11;paralelo;1000;0.0168249607086
4;12;paralelo;1000;0.0138010978699
4;13;paralelo;1000;0.0130801200867
4;14;paralelo;1000;0.0154378414154
4;15;paralelo;1000;0.0149388313293
4;16;paralelo;1000;0.0125539302826
4;17;paralelo;1000;0.0113999843597
4;18;paralelo;1000;0.0123310089111
4;19;paralelo;1000;0.0106501579285
4;20;paralelo;1000;0.0121400356293
6;1;paralelo;1000000;6.3364379406
6;2;paralelo;1000000;6.8244509697
6;3;paralelo;1000000;6.13133692741
6;4;paralelo;1000000;8.26044011116
6;5;paralelo;1000000;6.29426503181
6;6;paralelo;1000000;8.30073690414
6;7;paralelo;1000000;5.68399310112
6;8;paralelo;1000000;6.06155085564
6;9;paralelo;1000000;5.19500303268
6;10;paralelo;1000000;6.92911100388
6;11;paralelo;1000000;5.4145219326
6;12;paralelo;1000000;5.44399499893
6;13;paralelo;1000000;5.36375498772
6;14;paralelo;1000000;4.76533389091
6;15;paralelo;1000000;4.64223384857
6;16;paralelo;1000000;8.10120105743
6;17;paralelo;1000000;6.89339399338
6;18;paralelo;1000000;5.05943799019
6;19;paralelo;1000000;6.56460595131
6;20;paralelo;1000000;4.99066710472
