tratamento;repeticao;type;size;time
1;1;sequencial;1000;0.00174999237061
1;2;sequencial;1000;0.00183987617493
1;3;sequencial;1000;0.00180792808533
1;4;sequencial;1000;0.00185704231262
1;5;sequencial;1000;0.00182604789734
1;6;sequencial;1000;0.001708984375
1;7;sequencial;1000;0.00188684463501
1;8;sequencial;1000;0.00173306465149
1;9;sequencial;1000;0.00196599960327
1;10;sequencial;1000;0.00186395645142
1;11;sequencial;1000;0.00176095962524
1;12;sequencial;1000;0.00176191329956
1;13;sequencial;1000;0.00170683860779
1;14;sequencial;1000;0.00173902511597
1;15;sequencial;1000;0.00178408622742
1;16;sequencial;1000;0.0020592212677
1;17;sequencial;1000;0.00189280509949
1;18;sequencial;1000;0.00174188613892
1;19;sequencial;1000;0.00178003311157
1;20;sequencial;1000;0.00179290771484
3;1;sequencial;1000000;4.27234005928
3;2;sequencial;1000000;4.18642902374
3;3;sequencial;1000000;4.07954001427
3;4;sequencial;1000000;4.07130002975
3;5;sequencial;1000000;4.00049805641
3;6;sequencial;1000000;4.18987607956
3;7;sequencial;1000000;4.02480006218
3;8;sequencial;1000000;4.19832992554
3;9;sequencial;1000000;4.04840612411
3;10;sequencial;1000000;4.13339304924
3;11;sequencial;1000000;4.2161860466
3;12;sequencial;1000000;4.23807907104
3;13;sequencial;1000000;4.25660991669
3;14;sequencial;1000000;4.09558486938
3;15;sequencial;1000000;3.95144414902
3;16;sequencial;1000000;4.21395492554
3;17;sequencial;1000000;4.08428502083
3;18;sequencial;1000000;4.0911989212
3;19;sequencial;1000000;4.15252900124
3;20;sequencial;1000000;4.2625579834
2;1;sequencial;10000;0.0207979679108
2;2;sequencial;10000;0.0212121009827
2;3;sequencial;10000;0.0210809707642
2;4;sequencial;10000;0.0213968753815
2;5;sequencial;10000;0.0214431285858
2;6;sequencial;10000;0.0209720134735
2;7;sequencial;10000;0.0206561088562
2;8;sequencial;10000;0.0217549800873
2;9;sequencial;10000;0.0210859775543
2;10;sequencial;10000;0.0210790634155
2;11;sequencial;10000;0.0214450359344
2;12;sequencial;10000;0.0216858386993
2;13;sequencial;10000;0.0212190151215
2;14;sequencial;10000;0.0210671424866
2;15;sequencial;10000;0.0210480690002
2;16;sequencial;10000;0.0207209587097
2;17;sequencial;10000;0.0221328735352
2;18;sequencial;10000;0.0217599868774
2;19;sequencial;10000;0.0209920406342
2;20;sequencial;10000;0.0212149620056
5;1;paralelo;10000;0.0327310562134
5;2;paralelo;10000;0.0358490943909
5;3;paralelo;10000;0.0418200492859
5;4;paralelo;10000;0.0386009216309
5;5;paralelo;10000;0.0359060764313
5;6;paralelo;10000;0.031886100769
5;7;paralelo;10000;0.0336880683899
5;8;paralelo;10000;0.0354549884796
5;9;paralelo;10000;0.030928850174
5;10;paralelo;10000;0.0380511283875
5;11;paralelo;10000;0.0347490310669
5;12;paralelo;10000;0.0435931682587
5;13;paralelo;10000;0.032185792923
5;14;paralelo;10000;0.033527135849
5;15;paralelo;10000;0.0365300178528
5;16;paralelo;10000;0.0347080230713
5;17;paralelo;10000;0.0309770107269
5;18;paralelo;10000;0.0304479598999
5;19;paralelo;10000;0.0390911102295
5;20;paralelo;10000;0.0417981147766
4;1;paralelo;1000;0.012186050415
4;2;paralelo;1000;0.0119481086731
4;3;paralelo;1000;0.0120289325714
4;4;paralelo;1000;0.0101840496063
4;5;paralelo;1000;0.00934720039368
4;6;paralelo;1000;0.0120661258698
4;7;paralelo;1000;0.00879287719727
4;8;paralelo;1000;0.00886011123657
4;9;paralelo;1000;0.011684179306
4;10;paralelo;1000;0.0103008747101
4;11;paralelo;1000;0.0119771957397
4;12;paralelo;1000;0.0103437900543
4;13;paralelo;1000;0.00959277153015
4;14;paralelo;1000;0.00902080535889
4;15;paralelo;1000;0.00941586494446
4;16;paralelo;1000;0.0101680755615
4;17;paralelo;1000;0.00971817970276
4;18;paralelo;1000;0.00955700874329
4;19;paralelo;1000;0.0114068984985
4;20;paralelo;1000;0.0119700431824
6;1;paralelo;1000000;5.55201601982
6;2;paralelo;1000000;4.51694297791
6;3;paralelo;1000000;5.47887182236
6;4;paralelo;1000000;5.57398796082
6;5;paralelo;1000000;6.29958701134
6;6;paralelo;1000000;5.71481108665
6;7;paralelo;1000000;5.14050412178
6;8;paralelo;1000000;5.44302392006
6;9;paralelo;1000000;4.63146400452
6;10;paralelo;1000000;4.82539510727
6;11;paralelo;1000000;5.37710690498
6;12;paralelo;1000000;4.91613507271
6;13;paralelo;1000000;5.27102589607
6;14;paralelo;1000000;6.37718105316
6;15;paralelo;1000000;5.54425191879
6;16;paralelo;1000000;5.19663000107
6;17;paralelo;1000000;6.23466396332
6;18;paralelo;1000000;5.67907500267
6;19;paralelo;1000000;5.14231610298
6;20;paralelo;1000000;5.80846691132
