tratamento;repeticao;type;size;time
1;1;sequencial;1000;0.00440287590027
1;2;sequencial;1000;0.00396084785461
1;3;sequencial;1000;0.00402092933655
1;4;sequencial;1000;0.00405812263489
1;5;sequencial;1000;0.00400686264038
1;6;sequencial;1000;0.00390195846558
1;7;sequencial;1000;0.00383496284485
1;8;sequencial;1000;0.00386190414429
1;9;sequencial;1000;0.00369620323181
1;10;sequencial;1000;0.00365900993347
1;11;sequencial;1000;0.00530409812927
1;12;sequencial;1000;0.00462913513184
1;13;sequencial;1000;0.00476908683777
1;14;sequencial;1000;0.00363993644714
1;15;sequencial;1000;0.00348901748657
1;16;sequencial;1000;0.00353813171387
1;17;sequencial;1000;0.00337791442871
1;18;sequencial;1000;0.00336694717407
1;19;sequencial;1000;0.00333690643311
1;20;sequencial;1000;0.00321698188782
3;1;sequencial;1000000;6.555560112
3;2;sequencial;1000000;6.90361189842
3;3;sequencial;1000000;6.60349798203
3;4;sequencial;1000000;6.85136508942
3;5;sequencial;1000000;6.20879793167
3;6;sequencial;1000000;6.53696799278
3;7;sequencial;1000000;6.57064414024
3;8;sequencial;1000000;6.34330797195
3;9;sequencial;1000000;6.40751099586
3;10;sequencial;1000000;6.56045484543
3;11;sequencial;1000000;6.36415815353
3;12;sequencial;1000000;6.47788000107
3;13;sequencial;1000000;6.37103199959
3;14;sequencial;1000000;6.63380408287
3;15;sequencial;1000000;6.3237991333
3;16;sequencial;1000000;6.51807713509
3;17;sequencial;1000000;6.4938929081
3;18;sequencial;1000000;6.88577699661
3;19;sequencial;1000000;6.85180783272
3;20;sequencial;1000000;6.86506295204
2;1;sequencial;10000;0.0368010997772
2;2;sequencial;10000;0.0421359539032
2;3;sequencial;10000;0.035717010498
2;4;sequencial;10000;0.0418839454651
2;5;sequencial;10000;0.0370659828186
2;6;sequencial;10000;0.04106092453
2;7;sequencial;10000;0.0376119613647
2;8;sequencial;10000;0.0407469272614
2;9;sequencial;10000;0.0392138957977
2;10;sequencial;10000;0.0386459827423
2;11;sequencial;10000;0.0407741069794
2;12;sequencial;10000;0.0387320518494
2;13;sequencial;10000;0.0425879955292
2;14;sequencial;10000;0.0388760566711
2;15;sequencial;10000;0.0396251678467
2;16;sequencial;10000;0.0374250411987
2;17;sequencial;10000;0.0668249130249
2;18;sequencial;10000;0.0394570827484
2;19;sequencial;10000;0.0380690097809
2;20;sequencial;10000;0.038516998291
5;1;paralelo;10000;0.0829730033875
5;2;paralelo;10000;0.0713379383087
5;3;paralelo;10000;0.062952041626
5;4;paralelo;10000;0.0630149841309
5;5;paralelo;10000;0.0762410163879
5;6;paralelo;10000;0.0691890716553
5;7;paralelo;10000;0.0643589496613
5;8;paralelo;10000;0.0658009052277
5;9;paralelo;10000;0.0785548686981
5;10;paralelo;10000;0.0762090682983
5;11;paralelo;10000;0.100890159607
5;12;paralelo;10000;0.083997964859
5;13;paralelo;10000;0.0627498626709
5;14;paralelo;10000;0.0766930580139
5;15;paralelo;10000;0.0673179626465
5;16;paralelo;10000;0.064924955368
5;17;paralelo;10000;0.0719621181488
5;18;paralelo;10000;0.0591289997101
5;19;paralelo;10000;0.0716469287872
5;20;paralelo;10000;0.0573890209198
4;1;paralelo;1000;0.0257840156555
4;2;paralelo;1000;0.0241770744324
4;3;paralelo;1000;0.0203549861908
4;4;paralelo;1000;0.0180380344391
4;5;paralelo;1000;0.0173439979553
4;6;paralelo;1000;0.0177819728851
4;7;paralelo;1000;0.0186500549316
4;8;paralelo;1000;0.0172839164734
4;9;paralelo;1000;0.0156469345093
4;10;paralelo;1000;0.0186250209808
4;11;paralelo;1000;0.0198259353638
4;12;paralelo;1000;0.0168859958649
4;13;paralelo;1000;0.0198309421539
4;14;paralelo;1000;0.0187680721283
4;15;paralelo;1000;0.0220038890839
4;16;paralelo;1000;0.0211350917816
4;17;paralelo;1000;0.0147068500519
4;18;paralelo;1000;0.0180511474609
4;19;paralelo;1000;0.0174241065979
4;20;paralelo;1000;0.018728017807
6;1;paralelo;1000000;7.94104003906
6;2;paralelo;1000000;8.13791799545
6;3;paralelo;1000000;7.8935611248
6;4;paralelo;1000000;8.73289203644
6;5;paralelo;1000000;7.79625606537
6;6;paralelo;1000000;7.27032279968
6;7;paralelo;1000000;7.6353931427
6;8;paralelo;1000000;7.9832367897
6;9;paralelo;1000000;8.21821689606
6;10;paralelo;1000000;8.42615103722
6;11;paralelo;1000000;8.90957903862
6;12;paralelo;1000000;7.83752703667
6;13;paralelo;1000000;7.65464496613
6;14;paralelo;1000000;8.07496285439
6;15;paralelo;1000000;7.67648506165
6;16;paralelo;1000000;8.10281300545
6;17;paralelo;1000000;7.46893000603
6;18;paralelo;1000000;8.48472499847
6;19;paralelo;1000000;8.35800409317
6;20;paralelo;1000000;8.05965805054
